make,mileage,price
Nissan Altima,"82,344 milesDiscount Available","$16,999"
Chevrolet Malibu,"60,420 miles","$21,500"
Honda CR-V,"108,974 miles","$21,988"
Ford F-150,"39,417 miles","$38,220"
Nissan Altima,"43,594 miles","$23,000"
Jeep Renegade,"3,918 miles","$20,590"
BMW 3 Series,"5,815 miles","$35,700"
Chevrolet Equinox,"43,556 miles","$21,897"
Chevrolet Silverado 1500,"113,647 miles","$19,995"
Toyota Corolla,"47,504 milesDiscount Available","$18,976"
Chevrolet Silverado 1500,"111,590 milesUpfront Price Available","$26,994"
Toyota Corolla,"120,466 miles","$14,499"
Toyota Corolla,"35,666 milesDiscount Available","$18,295"
Toyota Corolla,"36,464 milesDiscount Available","$18,295"
Ford Escape,"90,120 milesUpfront Price Available","$16,989"
Chevrolet Equinox,"57,616 miles","$21,161"
Chevrolet Equinox,"150,981 miles","$12,999"
Ford F-150,"98,293 miles","$19,500"
Lexus SC,"152,764 miles","$11,999"
Ford F-150,"149,932 milesUpfront Price Available","$26,675"
Nissan Altima,"90,894 milesDiscount Available","$11,995"
Chevrolet Malibu,"147,446 miles","$13,500"
Nissan Versa,"56,911 miles","$13,995"
Toyota Corolla,"60,722 miles","$20,297"
Ford F-150,"168,148 miles","$21,995"
Ford F-150,"61,812 miles","$34,495"
